origin;destination;year;month;avg_time_difference;count;;;;;;
EHST;EHHO;2022;3;10.591.666.666.666.600;6;;;;;;
EHRD;EHND;2022;3;873.7;10;;;;;;
EHBD;EBMB;2022;3;1294.0;1;;;;;;
EHGG;EHDS;2022;3;11.746.666.666.666.600;3;;;;;;
EHRD;EFHK;2022;3;8756.0;1;;;;;;
EHAM;LFOY;2022;3;3136.0;1;;;;;;
EHBD;EHBK;2022;3;1464.0;1;;;;;;
EHBK;LEAL;2022;3;8380.5;8;;;;;;
EHRD;LPPR;2022;3;8337.0;1;;;;;;
EHTE;EDLN;2022;3;1694.0;1;;;;;;
EHTX;EHDL;2022;3;4257.0;1;;;;;;
EHAM;LFBZ;2022;3;6272.0;1;;;;;;
EHLE;LFQB;2022;3;5946.0;1;;;;;;
EHBD;EGGP;2022;3;4995.0;1;;;;;;
EHTE;EDVK;2022;3;2958.0;2;;;;;;
EHSE;EHGR;2022;3;797.0;1;;;;;;
EHSE;EHTW;2022;3;3313.0;1;;;;;;
EHRD;EGTK;2022;3;5569.5;2;;;;;;
EHAM;LIPH;2022;3;4867.0;1;;;;;;
EHEH;LHBP;2022;3;6007.4;35;;;;;;
EHRD;EDTM;2022;3;3369.0;1;;;;;;
EHBD;EKOD;2022;3;4184.0;2;;;;;;
EHTE;EDBM;2022;3;3667.0;1;;;;;;
EHRD;EBZH;2022;3;3301.0;1;;;;;;
EHAM;ESGG;2022;3;4.125.277.777.777.770;108;;;;;;
EHAM;LOWS;2022;3;4.413.068.965.517.240;58;;;;;;
EHST;EDWR;2022;3;1010.0;1;;;;;;
EHRD;EHSE;2022;3;11.607.142.857.142.800;7;;;;;;
EHTW;LOLU;2022;3;11460.0;1;;;;;;
EHAM;LFMN;2022;3;5.728.015.873.015.870;126;;;;;;
EHGG;EHHO;2022;3;1.069.090.909.090.900;11;;;;;;
EHAM;LFHN;2022;3;40.551.346.153.846.100;52;;;;;;
EHTW;EHKD;2022;3;2667.5;2;;;;;;
EHAM;ESNZ;2022;3;7429.5;4;;;;;;
EHLW;LFBD;2022;3;8570.0;1;;;;;;
EHGR;EHEH;2022;3;40.193.333.333.333.300;3;;;;;;
EHBD;EHGR;2022;3;1278.0;1;;;;;;
EHAM;EDAZ;2022;3;37.616.666.666.666.600;3;;;;;;
EHSE;EHLE;2022;3;2.835.714.285.714.280;7;;;;;;
EHRD;EGLC;2022;3;24.422.954.545.454.500;44;;;;;;
EHAM;EKRK;2022;3;3371.0;1;;;;;;
EHRD;LSGB;2022;3;9547.5;2;;;;;;
EHAM;EBKT;2022;3;1903.8;5;;;;;;
EHWO;EHAM;2022;3;991.0;1;;;;;;
EHHV;EHRD;2022;3;13.721.666.666.666.600;6;;;;;;
EHAM;LFPM;2022;3;4505.0;2;;;;;;
EHTW;EDDS;2022;3;3099.25;4;;;;;;
EHAM;LIMN;2022;3;4391.0;1;;;;;;
EHRD;EDEG;2022;3;2468.0;1;;;;;;
EHBD;EBAW;2022;3;2101.5;2;;;;;;
EHMZ;EHSE;2022;3;2.128.625;8;;;;;;
EHLE;EDLN;2022;3;2835.0;4;;;;;;
EHAM;EDMO;2022;3;4252.0;2;;;;;;
EHEH;EGLC;2022;3;2699.0;2;;;;;;
EHDS;EHBD;2022;3;3555.0;1;;;;;;
EHEH;EDDP;2022;3;5911.0;1;;;;;;
EHEH;LEPA;2022;3;7.086.736.842.105.260;19;;;;;;
EHEH;LKPR;2022;3;3873.4;10;;;;;;
EHTW;LSGG;2022;3;4.344.333.333.333.330;3;;;;;;
EHRD;LIRF;2022;3;6512.0;9;;;;;;
EHDS;EHTE;2022;3;739.0;1;;;;;;
EHGG;ESGS;2022;3;9254.0;1;;;;;;
EHBK;LIMC;2022;3;3.730.866.666.666.660;15;;;;;;
EHEH;LEIB;2022;3;7.619.666.666.666.660;9;;;;;;
EHEH;EPGD;2022;3;4941.5;18;;;;;;
EHRD;LFLS;2022;3;4538.2;5;;;;;;
EHSE;EHHV;2022;3;21.493.333.333.333.300;3;;;;;;
EHAM;EGLM;2022;3;2543.4;5;;;;;;
EHGG;ETHS;2022;3;4303.0;1;;;;;;
EHRD;EHAM;2022;3;13.473.333.333.333.300;24;;;;;;
EHAM;LSZR;2022;3;3554.0;13;;;;;;
EHAM;EHGG;2022;3;14.005.833.333.333.300;12;;;;;;
EHEH;EPLR;2022;3;6444.0;1;;;;;;
EHTE;LOAN;2022;3;7966.0;1;;;;;;
EHEH;EHTE;2022;3;2506.5;2;;;;;;
EHAM;LICP;2022;3;8041.0;1;;;;;;
EHBD;EDQM;2022;3;2679.0;1;;;;;;
EHAM;EKEB;2022;3;2332.0;1;;;;;;
EHSE;EHEH;2022;3;1483.0;1;;;;;;
EHBD;EGKB;2022;3;4039.0;1;;;;;;
EHWO;EHKD;2022;3;3503.0;1;;;;;;
EHAM;EPWA;2022;3;5.683.803.921.568.620;153;;;;;;
EHRD;LSZA;2022;3;4722.5;2;;;;;;
