origin,destination,year(firstseen),month(firstseen),count
EHRD,LEAL,2022,9,37
EHRD,EGPH,2022,9,15
EHRD,LICJ,2022,9,5
EHRD,EBMB,2022,9,1
EHRD,LPPT,2022,9,12
EHRD,LPAR,2022,9,4
EHRD,LIBR,2022,9,2
EHRD,LFBD,2022,9,1
EHRD,LICP,2022,9,3
EHRD,LFCM,2022,9,1
EHRD,EGLC,2022,9,60
EHRD,LFNL,2022,9,1
EHRD,LEPA,2022,9,19
EHRD,LIRZ,2022,9,8
EHRD,LEIB,2022,9,37
EHRD,LIME,2022,9,2
EHRD,LEMH,2022,9,1
EHRD,LOWS,2022,9,1
EHRD,LFKB,2022,9,1
EHRD,LFMT,2022,9,1
EHRD,LEMU,2020,3,10
EHRD,EGLC,2020,3,54
EHRD,EGPH,2020,3,5
EHRD,LSGG,2020,3,6
EHRD,LEMG,2020,3,24
EHRD,LIRF,2020,3,4
EHRD,LFLS,2020,3,1
EHRD,LPPT,2020,3,6
EHRD,LEVC,2020,3,7
EHRD,EDDM,2020,3,2
EHRD,LEAL,2020,3,12
EHRD,LFBO,2020,3,1
EHRD,LOWI,2020,3,8
EHRD,LOIR,2020,3,8
EHRD,LFIB,2020,3,4
EHRD,LOWW,2020,3,10
EHRD,LFOK,2020,3,1
EHRD,LPFR,2020,3,20
EHRD,LFLB,2020,3,1
EHRD,LKKL,2020,3,1
EHRD,LEBL,2020,3,14
EHRD,LIMC,2020,3,1
EHRD,LFDF,2020,3,1
EHRD,LOWS,2020,3,32
EHRD,LEAP,2020,9,3
EHRD,LD57,2020,9,3
EHRD,EHEH,2020,9,1
EHRD,LFMT,2020,9,2
EHRD,LICP,2020,9,2
EHRD,LDSR,2020,9,2
EHRD,LFNL,2020,9,1
EHRD,LEPA,2020,9,2
EHRD,LFTH,2020,9,4
EHRD,LGKO,2020,9,6
EHRD,LFBX,2020,9,4
EHRD,LPFR,2020,9,38
EHRD,LIBR,2020,9,8
EHRD,LFIB,2020,9,8
EHRD,EKYT,2020,9,1
EHRD,LICJ,2020,9,7
EHRD,LDPM,2020,9,3
EHRD,LFBE,2020,9,1
EHRD,LEGE,2020,9,6
EHRD,LFNG,2020,9,2
EHRD,LFCM,2020,9,1
EHRD,LEMG,2020,9,25
EHRD,LFMQ,2020,9,1
EHRD,LEIB,2020,9,2
EHRD,LFTZ,2020,9,1
EHRD,LIRZ,2020,9,9
EHRD,LEAL,2020,9,26
EHRD,LGAV,2020,9,1
EHRD,LDPL,2020,9,3
EHRD,LIRF,2022,5,18
EHRD,EGPH,2022,5,16
EHRD,LGSA,2022,5,1
EHRD,EBZU,2022,5,1
EHRD,EBBR,2022,5,3
EHRD,LFBX,2022,5,4
EHRD,LEPA,2022,5,21
EHRD,LEBL,2022,5,31
EHRD,LDDU,2022,5,12
EHRD,LIBR,2022,5,3
EHRD,LAGJ,2022,5,1
EHRD,LPOT,2022,5,1
EHRD,EDDB,2022,5,1
EHRD,LGKO,2022,5,20
EHRD,LDPM,2022,5,6
EHRD,LFNG,2022,5,1
EHRD,LFNL,2022,5,4
EHRD,LFML,2022,5,2
EHRD,LGSO,2022,5,1
EHRD,LICJ,2022,5,5
EHRD,LIRZ,2022,5,7
EHRD,LATI,2022,5,9
EHRD,LFMT,2022,5,1
EHRD,EINN,2022,5,1
EHRD,EPKT,2022,5,1
EHRD,LEAP,2022,5,1
EHRD,LKPR,2022,5,1
EHRD,LFCM,2022,5,3
EHRD,LE84,2022,5,1
EHRD,LIAF,2022,5,1
EHRD,LEGE,2022,5,4
EHRD,LFTH,2022,5,3
EHRD,LEIB,2022,5,58
EHRD,LIME,2022,5,11
EHRD,LPPT,2022,5,13
EHRD,ETSI,2022,5,3
EHRD,EGSS,2022,5,1
EHRD,LPFR,2022,5,45
EHRD,LPAR,2022,5,3
EHRD,EHAM,2022,5,2
EHRD,LEMG,2022,5,30
EHRD,EKCH,2022,5,1
EHRD,LD57,2022,5,1
EHRD,LDPL,2022,5,8
EHRD,LIMC,2022,5,1
EHRD,EDJA,2022,5,3
EHRD,LGRP,2022,5,10
EHRD,EGLC,2022,5,76
EHRD,EGJB,2022,5,1
EHRD,LEAL,2022,5,44
EHRD,LFTZ,2022,5,1
EHRD,LEAL,2019,10,9
EHRD,LIBD,2019,10,1
EHRD,LIRP,2019,10,6
EHRD,LGKO,2019,10,7
EHRD,EPKK,2019,10,1
EHRD,EDTB,2019,10,1
EHRD,ESSA,2019,10,1
EHRD,LELL,2019,10,6
EHRD,LEIB,2019,10,6
EHRD,LPPT,2019,10,12
EHRD,LEMG,2019,10,31
EHRD,LIBR,2019,10,7
EHRD,LIEA,2019,10,1
EHRD,LKPR,2019,10,1
EHRD,LFPG,2019,10,1
EHRD,LFDF,2019,10,2
EHRD,LDPM,2019,10,1
EHRD,LEGE,2019,10,1
EHRD,LEMU,2019,10,1
EHRD,EGLC,2019,10,89
EHRD,LFTW,2019,10,1
EHRD,LFBX,2019,10,1
EHRD,LICJ,2019,10,7
EHRD,LIRF,2019,10,17
EHRD,LD57,2019,10,2
EHRD,LKVO,2019,10,1
EHRD,LDSR,2019,10,5
EHRD,LPFR,2019,10,58
EHRD,LFBE,2019,10,3
EHRD,EDDF,2019,10,1
EHRD,EHGG,2019,10,8
EHRD,LOWW,2019,10,15
EHRD,LGIR,2019,10,7
EHRD,LDPL,2019,10,9
EHRD,EGCC,2019,10,2
EHRD,LFIB,2019,10,1
EHRD,LILQ,2019,10,1
EHRD,LDSP,2019,10,2
EHRD,LEBL,2019,10,22
EHRD,EHAM,2019,10,5
EHRD,EDDT,2019,10,1
EHRD,LICP,2019,10,1
EHRD,LEPA,2019,10,16
EHRD,LPAR,2019,10,9
EHRD,LEGE,2021,7,9
EHRD,LEAM,2021,7,2
EHRD,LFBX,2021,7,3
EHRD,LFTH,2021,7,7
EHRD,LEBL,2021,7,22
EHRD,LDSR,2021,7,6
EHRD,LEPA,2021,7,19
EHRD,LPFR,2021,7,39
EHRD,EHAM,2021,7,2
EHRD,LEMG,2021,7,39
EHRD,LEAP,2021,7,14
EHRD,LIBR,2021,7,7
EHRD,LFNL,2021,7,1
EHRD,LDZD,2021,7,1
EHRD,LPPT,2021,7,9
EHRD,LFCM,2021,7,1
EHRD,LFMT,2021,7,4
EHRD,LIRZ,2021,7,9
EHRD,LEAL,2021,7,42
EHRD,LFMQ,2021,7,1
EHRD,LGKO,2021,7,8
EHRD,LEIB,2021,7,30
EHRD,LDPL,2021,7,6
EHRD,LGRP,2021,7,3
EHRD,LDPM,2021,7,5
EHRD,LICJ,2021,7,2
EHRD,LFNG,2021,7,1
EHRD,EDDK,2020,6,1
EHRD,LDSR,2020,6,2
EHRD,LEIB,2020,6,1
EHRD,LEMG,2020,6,6
EHRD,EDDT,2020,6,1
EHRD,LPFR,2020,6,8
EHRD,LEAL,2020,6,3
EHRD,LRCK,2020,6,1
EHRD,LFTW,2019,7,2
EHRD,LDSB,2019,7,1
EHRD,LGIR,2019,7,14
EHRD,LPPT,2019,7,12
EHRD,LIRP,2019,7,5
EHRD,LFBX,2019,7,3
EHRD,LGKO,2019,7,12
EHRD,LICJ,2019,7,4
EHRD,EFHK,2019,7,1
EHRD,EGHP,2019,7,1
EHRD,LFMS,2019,7,1
EHRD,EHAM,2019,7,6
EHRD,LEBL,2019,7,31
EHRD,LIRF,2019,7,8
EHRD,EGMC,2019,7,1
EHRD,LGRP,2019,7,11
EHRD,LEAL,2019,7,42
EHRD,LOWW,2019,7,9
EHRD,LFDF,2019,7,2
EHRD,LFMT,2019,7,4
EHRD,LFTH,2019,7,3
EHRD,LIBR,2019,7,7
EHRD,LPFR,2019,7,47
EHRD,LFMN,2019,7,1
EHRD,LDSR,2019,7,13
EHRD,LPAR,2019,7,5
EHRD,LFNL,2019,7,5
EHRD,LDSP,2019,7,1
EHRD,EHEH,2019,7,1
