origin,destination,count
EHEH,EIWT,21
EHEH,LILQ,39
EHBK,EDDV,5
EHRD,LFDF,21
EHBK,LGSM,2
EHRD,LFCA,1
EHEH,LRBS,1
EHAM,LFTW,12
EHAM,LEMU,107
EHBK,LEGE,15
EHEH,ESSA,122
EHAM,EDDT,2923
EHEH,LIPU,23
EHRD,LFNO,2
EHRD,LICA,23
EHAM,LIPU,109
EHEH,EPZB,28
EHAM,EHLE,10
EHAM,ESGI,18
EHRD,LDSR,98
EHAM,LIPV,42
EHAM,LYBT,459
EHEH,LPIN,5
EHEH,ETNG,1
EHAM,LFFE,11
EHAM,LFNZ,13
EHRD,EFRO,3
EHBK,ELLX,109
EHBK,EGPK,2
EHEH,EYVP,22
EHGG,LGIR,54
EHAM,LKLT,16
EHEH,EKBI,2
EHRD,LDPV,34
EHAM,ESMU,108
EHEH,EDLW,1
EHEH,LSZM,1
EHAM,LFMS,2
EHAM,LKRK,18
EHAM,LGIR,527
EHEH,LEMU,76
EHRD,LGIR,93
EHEH,LE85,89
EHAM,LPVL,9
EHRD,EGLF,1
EHEH,LGIR,150
EHAM,LIDG,12
EHAM,EDAM,51
EHAM,EGTB,1
EHAM,LKPC,42
EHEH,EDDK,4
EHAM,EDCT,96
EHAM,EGVT,11
EHAM,ESMX,51
EHEH,LIPS,55
EHAM,EKRK,19
EHAM,EDWM,28
EHAM,EPKT,133
EHAM,LFPV,23
EHRD,LILQ,19
EHBK,LGTL,4
EHAM,LGKC,23
EHAM,EIWT,235
EHAM,LETO,190
EHEH,LELL,60
EHRD,EDWQ,1
EHAM,EGTU,36
EHBK,LIEA,23
EHEH,LIDU,80
EHAM,LE85,152
EHEH,LJDI,2
EHAM,LDPV,10
EHAM,LIPM,90
EHEH,LYBT,110
EHEH,LKKL,43
EHAM,ENKJ,604
EHRD,EDDM,13
EHEH,LILV,13
EHGG,EGMC,572
EHAM,LKSN,24
EHRD,EDDT,12
EHRD,LFMS,3
EHAM,EGLK,1
EHAM,LKHV,1
EHAM,LEIG,5
EHEH,LIRA,272
EHAM,LPIN,30
EHAM,EYVP,42
EHEH,LKVO,127
EHAM,LDSR,114
EHAM,EDEQ,1
EHAM,LIDW,4
EHRD,LFME,4
EHRD,EHGG,45
EHAM,EIKN,1
EHAM,LGSR,85
EHGG,LPFR,48
EHEH,EPKM,15
EHAM,LKKL,223
EHAM,LIEA,96
EHEH,LPCS,1
EHAM,LIDC,12
EHBK,ENKJ,6
EHBK,LEMU,5
EHAM,EFTU,1
EHRD,LFMD,1
EHEH,EDVE,2
EHAM,LDRI,5
EHEH,LPPM,2
EHAM,EPKW,7
EHAM,EKEB,84
EHAM,LFFH,2
EHEH,EPKW,2
EHGG,EHRD,4
EHAM,LIRU,22
EHAM,LDRG,3
EHGG,EDDC,1
EHRD,EFHK,3
EHRD,LDSB,5
EHAM,LFPL,2
EHRD,LIRA,2
EHAM,EKVD,164
EHRD,LFTW,14
EHEH,LIRU,75
EHAM,ESCF,7
EHAM,LGPA,3
EHEH,LRPH,2
EHBK,LGZA,1
EHBK,EGMC,3
EHAM,LIEE,40
EHEH,LIDG,5
EHEH,LKSN,2
EHAM,ENSO,3
EHAM,LSZI,1
EHAM,LYSM,78
EHRD,LDSP,17
