origin,destination,year(firstseen),month(firstseen),count
EHEH,LHBP,2020,2,5
EHEH,EYKS,2020,2,2
EHEH,EPGD,2020,2,15
EHEH,EGSS,2020,2,61
EHEH,LIRA,2020,2,1
EHEH,LIPH,2020,2,12
EHEH,LIDU,2020,2,1
EHEH,EPMR,2020,2,7
EHEH,LEGE,2020,2,1
EHEH,LOWW,2020,2,14
EHEH,ESSA,2020,2,4
EHEH,EPMO,2020,2,8
EHEH,EYRU,2020,2,3
EHEH,LPAR,2020,2,1
EHEH,LEPA,2020,2,14
EHEH,LEMD,2020,2,16
EHEH,LEAL,2020,2,19
EHEH,EYKA,2020,2,1
EHEH,LICZ,2020,2,5
EHEH,LIPE,2020,2,1
EHEH,EPKT,2020,2,29
EHEH,EPLE,2020,2,5
EHEH,LRPH,2020,2,1
EHEH,EHAM,2020,2,3
EHEH,LIBR,2020,2,2
EHEH,LEMG,2020,2,45
EHEH,LEZL,2020,2,11
EHEH,LKVO,2020,2,2
EHEH,EYVI,2020,2,2
EHEH,LPPR,2020,2,17
EHEH,LYBE,2020,2,5
EHEH,EYRD,2020,2,4
EHEH,EPSW,2020,2,2
EHEH,EGCC,2020,2,16
EHEH,EGPH,2020,2,7
EHEH,LELL,2020,2,1
EHEH,LEIB,2020,2,3
EHEH,LPFR,2020,2,37
EHEH,EPWA,2020,2,7
EHEH,LGAV,2020,2,11
EHEH,EPKK,2020,2,37
EHEH,LOWI,2020,2,4
EHEH,LE85,2020,2,9
EHEH,LEVC,2020,2,19
EHEH,EPLR,2020,2,3
EHEH,LYBT,2020,2,3
EHEH,LGKN,2020,2,2
EHEH,LIME,2020,2,17
EHEH,EGNX,2020,2,1
EHEH,EBZU,2019,5,1
EHEH,LEMD,2019,5,16
EHEH,LIRA,2019,5,14
EHEH,EPKK,2019,5,2
EHEH,LPFR,2019,5,63
EHEH,LROP,2019,5,23
EHEH,EBCI,2019,5,1
EHEH,EGCC,2019,5,18
EHEH,LIPM,2019,5,2
EHEH,LFML,2019,5,8
EHEH,EPMR,2019,5,1
EHEH,EPWA,2019,5,14
EHEH,LEBL,2019,5,41
EHEH,EPLR,2019,5,6
EHEH,LIRU,2019,5,14
EHEH,EGSS,2019,5,87
EHEH,EPPO,2019,5,6
EHEH,LEMG,2019,5,18
EHEH,EGPH,2019,5,13
EHEH,LIBR,2019,5,6
EHEH,LBTG,2019,5,1
EHEH,LILQ,2019,5,3
EHEH,LPAR,2019,5,5
EHEH,EPLE,2019,5,6
EHEH,EPKT,2019,5,2
EHEH,EDDL,2019,5,1
EHEH,LFOE,2019,5,1
EHEH,EPGL,2019,5,1
EHEH,ESSG,2019,5,3
EHEH,LYBT,2019,5,8
EHEH,ESSA,2019,5,12
EHEH,ELLX,2019,5,1
EHEH,LKPC,2019,5,4
EHEH,EHRD,2019,5,1
EHEH,LIRP,2019,5,9
EHEH,LEGE,2019,5,2
EHEH,LKVO,2019,5,16
EHEH,LKKL,2019,5,2
EHEH,LIPS,2019,5,3
EHEH,LDRG,2019,5,6
EHEH,LIDU,2019,5,1
EHEH,LIDE,2019,5,1
EHEH,EPGD,2019,5,24
EHEH,EPWR,2019,5,15
EHEH,LEZL,2019,5,21
EHEH,LGAV,2019,5,26
EHEH,EHAM,2019,5,4
EHEH,EIWT,2019,5,1
EHEH,EIDW,2019,5,29
EHEH,LIPQ,2019,5,1
EHEH,LGIR,2019,5,24
EHEH,LILV,2019,5,1
EHEH,LDPL,2019,5,1
EHEH,EVRA,2019,5,13
EHEH,LIPU,2019,5,4
EHEH,LBWV,2019,5,7
EHEH,EITM,2019,5,1
EHEH,EKCH,2019,5,16
EHEH,LIQG,2019,5,1
EHEH,LZIB,2019,5,6
EHEH,LHBP,2019,5,16
EHEH,LKPR,2019,5,10
EHEH,LFMY,2019,5,2
EHEH,LPPT,2019,5,37
EHEH,EGPF,2019,5,1
EHEH,LFNR,2019,5,2
EHEH,LIME,2019,5,27
EHEH,LMML,2019,5,1
EHEH,LGKY,2019,5,1
EHEH,EBLG,2019,5,1
EHEH,LYBE,2019,5,10
EHEH,EDDV,2019,5,1
EHEH,LGKN,2019,5,2
EHEH,LEAL,2019,5,24
EHEH,EPKM,2019,5,1
EHEH,LE85,2019,5,4
EHEH,LGKO,2019,5,14
EHEH,LEMU,2019,5,6
EHEH,EIBA,2019,5,1
EHEH,LIDH,2019,5,1
EHEH,LGRP,2019,5,9
EHEH,LIBR,2019,3,2
EHEH,EPKK,2019,3,7
EHEH,EHWO,2019,3,1
