ADEP,ADES,year,avg_delay_departure,avg_delay_destination,avg_total_delay,avg_filed_duration,avg_actual_duration
EHAM,LEZG,2018,-506.5681818181818,144.20454545454547,-362.3636363636364,6777.5,6415.136363636364
EHAM,EDDL,2016,290.0286195286195,374.7154882154882,664.7441077441077,2451.2390572390573,3115.983164983165
EHRD,LEPA,2016,689.59375,562.78125,1252.375,7742.203125,8994.578125
EHBK,LEGE,2016,504.0,262.6666666666667,766.6666666666666,6407.533333333334,7174.2
EHAM,LPPD,2016,270.0,-97.75,172.25,15277.75,15450.0
EHAM,EKKA,2016,216.0,692.0,908.0,5668.0,6576.0
EHEH,EGHH,2016,-1980.0,-1942.0,-3922.0,4463.0,541.0
EHAM,ENTC,2016,960.0,2484.0,3444.0,11530.0,14974.0
EHGG,LESO,2016,-454.0,-485.0,-939.0,13214.0,12275.0
EHEH,LFBT,2015,661.6923076923077,468.7692307692308,1130.4615384615386,6013.538461538462,7144.0
EHRD,LFMN,2015,64.2948717948718,-77.57692307692308,-13.282051282051283,6408.525641025641,6395.24358974359
EHAM,LIML,2019,291.9036697247706,362.99311926605503,654.8967889908257,5361.834862385321,6016.731651376147
EHBK,EGBB,2019,-391.50602409638554,-1075.6746987951808,-1467.1807228915663,6477.3373493975905,5010.156626506024
EHBK,EGSS,2019,984.0,1061.4,2045.4,3482.6,5528.0
EHLE,ESST,2019,60.0,145.0,205.0,8136.0,8341.0
EHEH,LEMG,2018,355.6357142857143,350.7142857142857,706.35,9837.921428571428,10544.271428571428
EHAM,LIEO,2018,742.6822429906542,-298.8785046728972,443.803738317757,8641.373831775702,9085.177570093458
EHAM,ESOE,2016,510.0,765.0,1275.0,6018.0,7293.0
EHAM,LIRN,2015,154.8503937007874,214.81102362204723,369.66141732283467,8075.055118110236,8444.71653543307
EHAM,EYVI,2015,285.01851851851853,289.9537037037037,574.9722222222222,9065.222222222223,9640.194444444445
EHEH,LKTB,2015,-19.8125,-201.09375,-220.90625,5300.5,5079.59375
EHAM,ESTA,2015,1260.0,1185.0,2445.0,5111.0,7556.0
EHEH,LBSF,2019,742.2137404580153,559.8091603053435,1302.0229007633588,8847.129770992366,10149.152671755724
EHAM,EDDK,2019,2460.0,1612.75,4072.75,4299.5,8372.25
EHRD,EBBR,2018,197.16666666666666,391.1666666666667,588.3333333333334,1753.0,2341.3333333333335
EHBK,LEPA,2016,-330.0,-278.5,-608.5,8387.5,7779.0
EHRD,EGJJ,2016,-75.66666666666667,-231.66666666666666,-307.3333333333333,5991.0,5683.666666666667
EHBK,LEGE,2015,-5.631578947368421,-227.26315789473685,-232.89473684210526,6535.368421052632,6302.473684210527
EHAM,EETN,2019,516.9918699186992,565.3414634146342,1082.3333333333333,7988.918699186992,9071.252032520326
EHEH,LQTZ,2019,805.8775510204082,841.8163265306123,1647.6938775510205,6856.551020408163,8504.244897959185
EHAM,LFRS,2018,411.6041666666667,479.8541666666667,891.4583333333334,5050.241071428572,5941.699404761905
EHRD,LEBL,2016,370.6108108108108,404.34594594594597,774.9567567567567,6812.443243243243,7587.4
EHBK,LATI,2015,-600.0,-826.0,-1426.0,12706.0,11280.0
EHBK,LEMD,2019,44.57142857142857,237.85714285714286,282.42857142857144,7842.714285714285,8125.142857142857
EHRD,ENTO,2019,760.0,395.0,1155.0,6281.0,7436.0
EHAM,EHRD,2018,901.7222222222222,568.5,1470.2222222222222,2364.3888888888887,3834.6111111111113
EHAM,LGIR,2018,866.8495145631068,597.8203883495146,1464.6699029126214,12409.859223300971,13874.529126213592
EHAM,LIML,2016,233.69147659063626,428.3373349339736,662.0288115246099,5241.512605042017,5903.541416566627
EHEH,LIEA,2016,335.9,43.05,378.95,7063.45,7442.4
EHBK,EBLG,2016,-691.5,-699.0,-1390.5,1152.5,-238.0
EHBK,LBSF,2016,681.7142857142857,286.85714285714283,968.5714285714286,8712.57142857143,9681.142857142857
EHBK,LRBS,2016,240.0,715.0,955.0,9147.0,10102.0
EHAM,LDPL,2015,369.29411764705884,373.4117647058824,742.7058823529412,6329.882352941177,7072.588235294118
EHRD,EGHH,2015,60.0,-15.0,45.0,5386.0,5431.0
EHAM,EDDM,2019,628.4038598999285,762.4524660471766,1390.856325947105,4411.701929949964,5802.558255897069
EHAM,LGAV,2019,856.5246548323471,547.8579881656805,1404.3826429980277,11204.60157790927,12608.984220907298
EHAM,LKPR,2018,517.3190578158458,324.73126338329763,842.0503211991435,4898.7773019271945,5740.827623126338
EHEH,LRCL,2015,139.2608695652174,70.41304347826087,209.67391304347825,7650.369565217391,7860.04347826087
EHEH,LIPE,2015,65.17647058823529,-199.09803921568627,-133.92156862745097,5560.725490196079,5426.803921568628
EHEH,EDDK,2015,1056.0,254.0,1310.0,2954.0,4264.0
EHAM,LHBP,2019,516.2701030927835,261.02886597938146,777.2989690721649,6802.503092783505,7579.80206185567
